,Canonical_smiles,inchikey,Gene_name
0,O=C1OC2=C(O)C(O)=CC3=C2C2=C(OC3=O)C(O)=C(O)C=C12,AFSDNFLWKVMVRB-UHFFFAOYSA-N,SRC
1,O=C1OC2=C(O)C(O)=CC3=C2C2=C(OC3=O)C(O)=C(O)C=C12,AFSDNFLWKVMVRB-UHFFFAOYSA-N,PKIA
2,O=C1C(O)=C(C2=CC=C(O)C(O)=C2)OC2=CC(O)=CC=C12,XHEFDIBZLJXQHF-UHFFFAOYSA-N,GSK3B
